,id,text,level_number_origtxt,level_number_origtxt_wo_terms,level_number_b1txt,level_number_b1txt_wo_terms,level_number_b2txt,level_number_b2txt_wo_terms,level_number_c1txt,level_number_c1txt_wo_terms,level_comment_origtxt,level_comment_origtxt_wo_terms,level_comment_b1txt,level_comment_b1txt_wo_terms,level_comment_b2txt,level_comment_b2txt_wo_terms,level_comment_c1txt,level_comment_c1txt_wo_terms,words_origtxt,words_origtxt_wo_terms,words_b1txt,words_b1txt_wo_terms,words_b2txt,words_b2txt_wo_terms,words_c1txt,words_c1txt_wo_terms,sentences_origtxt,sentences_origtxt_wo_terms,sentences_b1txt,sentences_b1txt_wo_terms,sentences_b2txt,sentences_b2txt_wo_terms,sentences_c1txt,sentences_c1txt_wo_terms,reading_for_detail_speed_origtxt,reading_for_detail_speed_origtxt_wo_terms,reading_for_detail_speed_b1txt,reading_for_detail_speed_b1txt_wo_terms,reading_for_detail_speed_b2txt,reading_for_detail_speed_b2txt_wo_terms,reading_for_detail_speed_c1txt,reading_for_detail_speed_c1txt_wo_terms,skim_reading_speed_origtxt,skim_reading_speed_origtxt_wo_terms,skim_reading_speed_b1txt,skim_reading_speed_b1txt_wo_terms,skim_reading_speed_b2txt,skim_reading_speed_b2txt_wo_terms,skim_reading_speed_c1txt,skim_reading_speed_c1txt_wo_terms,inA1_origtxt,inA1_origtxt_wo_terms,inA1_b1txt,inA1_b1txt_wo_terms,inA1_b2txt,inA1_b2txt_wo_terms,inA1_c1txt,inA1_c1txt_wo_terms,inA2_origtxt,inA2_origtxt_wo_terms,inA2_b1txt,inA2_b1txt_wo_terms,inA2_b2txt,inA2_b2txt_wo_terms,inA2_c1txt,inA2_c1txt_wo_terms,inB1_origtxt,inB1_origtxt_wo_terms,inB1_b1txt,inB1_b1txt_wo_terms,inB1_b2txt,inB1_b2txt_wo_terms,inB1_c1txt,inB1_c1txt_wo_terms,inB2_origtxt,inB2_origtxt_wo_terms,inB2_b1txt,inB2_b1txt_wo_terms,inB2_b2txt,inB2_b2txt_wo_terms,inB2_c1txt,inB2_c1txt_wo_terms,inC1_origtxt,inC1_origtxt_wo_terms,inC1_b1txt,inC1_b1txt_wo_terms,inC1_b2txt,inC1_b2txt_wo_terms,inC1_c1txt,inC1_c1txt_wo_terms,rki_children_1000_origtxt,rki_children_1000_origtxt_wo_terms,rki_children_1000_b1txt,rki_children_1000_b1txt_wo_terms,rki_children_1000_b2txt,rki_children_1000_b2txt_wo_terms,rki_children_1000_c1txt,rki_children_1000_c1txt_wo_terms,rki_children_5000_origtxt,rki_children_5000_origtxt_wo_terms,rki_children_5000_b1txt,rki_children_5000_b1txt_wo_terms,rki_children_5000_b2txt,rki_children_5000_b2txt_wo_terms,rki_children_5000_c1txt,rki_children_5000_c1txt_wo_terms
0,1,Ортогонализация,5.9,5.0,5.9,5.0,6.0,4.8,6.0,4.5,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,71,63,71,63,81,57,71,51,5,5,5,5,7,7,5,5,40 сек.,30 сек.,40 сек.,30 сек.,40 сек.,30 сек.,40 сек.,30 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,38,52,38,52,36,52,38,56,47,73,47,73,45,61,47,65,54,80,54,80,54,72,56,75,65,87,65,87,65,83,66,83,68,88,68,88,69,89,69,88,49 %,77 %,49 %,77 %,47 %,67 %,50 %,71 %,69 %,95 %,69 %,95 %,69 %,93 %,69 %,94 %
1,2,"Разработка графической модели процессов с применением
стандарта IDEF0",5.9,4.4,4.3,4.4,4.5,4.5,5.0,4.9,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,Середина B2. II сертификационный уровень.,Конец B2. II сертификационный уровень.,Конец B2. II сертификационный уровень.,Конец B2. II сертификационный уровень.,Конец B2. II сертификационный уровень.,Конец B2. II сертификационный уровень.,96,72,96,72,95,76,103,79,8,8,11,8,11,9,12,12,50 сек.,40 сек.,60 сек.,40 сек.,60 сек.,50 сек.,50 сек.,40 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,26,42,32,42,29,36,28,35,33,57,45,57,43,51,39,48,51,76,67,76,66,71,59,66,64,88,83,88,82,86,73,78,82,99,91,99,90,96,85,94,32 %,56 %,45 %,56 %,43 %,50 %,41 %,49 %,62 %,85 %,80 %,85 %,80 %,83 %,69 %,75 %
2,3,Объектно-ориентированное программирования,6.7,5.5,5.8,5.5,5.7,4.9,5.6,4.4,"ой-ой-ой, этот текст сложный даже для носителя","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,70,77,72,77,76,7,74,43,3,10,10,10,10,1,10,9,40 сек.,40 сек.,40 сек.,40 сек.,40 сек.,10 сек.,40 сек.,30 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,10 сек.,20 сек.,20 сек.,40,43,39,43,39,29,38,60,46,52,46,52,46,43,46,74,51,70,54,70,51,57,53,79,75,86,76,86,76,86,75,91,81,92,81,92,81,86,81,98,45 %,52 %,46 %,52 %,45 %,43 %,45 %,74 %,59 %,78 %,66 %,78 %,61 %,86 %,62 %,81 %
3,4,Работа с регулярными выражениями,5.6,4.1,4.3,3.6,4.1,3.5,4.4,3.5,"C2, уровень носителя. IV сертификационный уровень.",Середина B2. II сертификационный уровень.,Середина B2. II сертификационный уровень.,Начало B2. II сертификационный уровень.,Середина B2. II сертификационный уровень.,Начало B2. II сертификационный уровень.,Конец B2. II сертификационный уровень.,Начало B2. II сертификационный уровень.,67,64,62,45,66,46,62,44,4,7,7,5,7,6,7,7,30 сек.,40 сек.,40 сек.,30 сек.,40 сек.,30 сек.,40 сек.,30 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,35,50,41,53,51,67,36,48,44,64,56,73,60,78,52,70,52,80,69,87,69,87,59,80,74,88,82,93,82,91,77,91,82,91,90,98,92,98,87,95,42 %,62 %,54 %,71 %,54 %,72 %,48 %,64 %,65 %,84 %,79 %,89 %,77 %,85 %,72 %,84 %
4,5,Определитель матрицы,6.4,4.2,5.4,4.2,5.2,5.7,5.8,5.0,"ой-ой-ой, этот текст сложный даже для носителя",Середина B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Середина B2. II сертификационный уровень.,Середина C1. III сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,118,71,109,71,106,109,109,71,7,9,10,9,11,10,11,10,60 сек.,40 сек.,50 сек.,40 сек.,50 сек.,50 сек.,50 сек.,40 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,20 сек.,29,48,32,48,41,32,30,45,42,67,47,67,53,44,42,59,58,86,61,86,75,60,58,82,69,94,69,94,83,67,66,89,77,97,76,97,90,75,74,94,38 %,67 %,45 %,67 %,50 %,42 %,40 %,61 %,66 %,89 %,67 %,89 %,79 %,65 %,63 %,83 %
5,6,Подходы к созданию современных приложений,6.0,4.8,5.8,5.0,5.6,5.1,6.0,5.5,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Начало C1. III сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.",295,205,300,214,305,213,308,208,18,22,18,17,19,18,16,13,2 мин.,2 мин.,2 мин.,2 мин.,3 мин.,2 мин.,3 мин.,2 мин.,40 сек.,30 сек.,40 сек.,30 сек.,40 сек.,30 сек.,40 сек.,30 сек.,33,41,33,41,33,40,33,42,42,54,42,54,43,54,42,55,48,60,47,60,48,60,47,62,66,77,67,76,67,76,67,77,79,87,79,86,80,87,80,87,37 %,48 %,36 %,48 %,37 %,48 %,36 %,50 %,62 %,73 %,64 %,72 %,64 %,72 %,63 %,72 %
6,7,Методология создания приложений «программноеобеспечение как услуга (The Twelve-Factor App) ,6.4,5.7,5.8,5.5,6.0,5.5,5.9,5.5,"ой-ой-ой, этот текст сложный даже для носителя","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.",209,206,197,117,211,133,203,134,11,18,15,15,15,15,15,15,2 мин.,2 мин.,2 мин.,60 сек.,2 мин.,1 мин.,2 мин.,1 мин.,30 сек.,30 сек.,30 сек.,20 сек.,30 сек.,30 сек.,30 сек.,30 сек.,30,32,32,43,32,43,32,41,39,41,41,54,40,54,41,53,47,50,49,65,48,65,51,65,64,67,65,79,65,80,67,80,79,82,81,94,81,92,82,94,40 %,43 %,44 %,63 %,42 %,59 %,43 %,57 %,62 %,64 %,62 %,79 %,62 %,78 %,64 %,77 %
7,8,Хиральный диполь в поле двух циркулярно поляризованных волн различных частот,6.9,4.1,5.3,4.1,5.7,5.5,6.7,5.0,"ой-ой-ой, этот текст сложный даже для носителя",Середина B2. II сертификационный уровень.,Середина C1. III сертификационный уровень.,Середина B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.","C2, уровень носителя. IV сертификационный уровень.","ой-ой-ой, этот текст сложный даже для носителя",Конец B2. II сертификационный уровень.,216,150,216,150,216,207,193,123,8,10,14,11,10,10,10,9,2 мин.,2 мин.,2 мин.,2 мин.,2 мин.,2 мин.,2 мин.,1 мин.,30 сек.,30 сек.,30 сек.,30 сек.,30 сек.,30 сек.,30 сек.,20 сек.,30,48,33,48,35,37,26,43,44,67,50,67,50,52,38,55,55,85,68,85,65,66,52,67,67,92,76,92,75,76,66,85,77,96,81,96,79,80,74,92,46 %,65 %,54 %,65 %,55 %,55 %,42 %,53 %,64 %,88 %,72 %,88 %,71 %,72 %,61 %,80 %
8,9,Конкурентные стратегии,6.1,4.6,5.3,4.6,5.4,4.6,6.0,5.3,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,Середина C1. III сертификационный уровень.,Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Середина C1. III сертификационный уровень.,169,118,189,118,187,126,168,110,9,13,13,13,13,13,8,7,1 мин.,60 сек.,2 мин.,60 сек.,2 мин.,1 мин.,1 мин.,60 сек.,30 сек.,20 сек.,30 сек.,20 сек.,30 сек.,30 сек.,30 сек.,20 сек.,26,45,30,45,31,45,28,40,33,55,39,55,39,53,35,49,39,64,48,64,48,64,42,56,55,84,65,84,61,75,57,68,79,97,86,97,86,92,83,87,30 %,50 %,36 %,50 %,36 %,48 %,33 %,43 %,48 %,72 %,56 %,72 %,54 %,64 %,50 %,57 %
9,10,Управление рисками,6.4,6.2,6.3,5.3,5.8,4.8,5.7,4.7,"ой-ой-ой, этот текст сложный даже для носителя","ой-ой-ой, этот текст сложный даже для носителя","ой-ой-ой, этот текст сложный даже для носителя",Середина C1. III сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,"C2, уровень носителя. IV сертификационный уровень.",Конец B2. II сертификационный уровень.,169,136,146,109,179,128,170,120,9,8,6,6,11,11,11,11,1 мин.,1 мин.,1 мин.,50 сек.,1 мин.,1 мин.,1 мин.,1 мин.,30 сек.,30 сек.,30 сек.,20 сек.,30 сек.,30 сек.,30 сек.,20 сек.,23,28,28,38,33,46,30,42,34,41,37,50,42,59,39,55,43,53,43,58,50,68,46,63,61,69,67,79,66,78,65,76,80,83,83,90,83,90,82,89,32 %,39 %,36 %,48 %,41 %,56 %,37 %,51 %,54 %,67 %,55 %,73 %,58 %,74 %,55 %,73 %
